Crop,City,Necessary_Measures
Arecanut,Assam,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,Assam,"Promote intercropping, biofertilizers, efficient irrigation."
Castor seed,Assam,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Coconut ,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Assam,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Assam,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Mesta,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Assam,"Use disease-free seeds, precision irrigation, organic manure."
Rapeseed &Mustard,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Assam,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Assam,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Assam,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Assam,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sweet potato,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Assam,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Assam,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arecanut,Karnataka,"Agroforestry practices, organic manures, pest-resistant varieties."
Arhar/Tur,Karnataka,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Bajra,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Black pepper,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cardamom,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coriander,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Dry chillies,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Dry chillies,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Garlic,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Karnataka,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Karnataka,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Karnataka,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Karnataka,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
