Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,CO2_Fertilizer,CO2_Pesticide,CO2_Emissions,Carbon_Footprint
Arecanut,1997,Whole Year ,Assam,73814,56708,2051.4,7024878.38,22882.34,0.796086957,18615927.707,114411.7,18730339.407,330.294480620018
Arhar/Tur,1997,Kharif     ,Assam,6637,4685,2051.4,631643.29,2057.47,0.710434783,1673854.7185,10287.35,1684142.0685,359.475361472786
Castor seed,1997,Kharif     ,Assam,796,22,2051.4,75755.32,246.76,0.238333333,200751.598,1233.8,201985.398,9181.15445454545
Coconut ,1997,Whole Year ,Assam,19656,126905000,2051.4,1870661.52,6093.36,5238.051739,4957253.028,30466.8,4987719.828,0.0393027841929002
Cotton(lint),1997,Kharif     ,Assam,1739,794,2051.4,165500.63,539.09,0.420909091,438576.6695,2695.45,441272.1195,555.758336901763
Dry chillies,1997,Whole Year ,Assam,13587,9073,2051.4,1293074.79,4211.97,0.643636364,3426648.1935,21059.85,3447708.0435,379.996477846357
Gram,1997,Rabi       ,Assam,2979,1507,2051.4,283511.43,923.49,0.465454545,751305.2895,4617.45,755922.7395,501.607657266092
Jute,1997,Kharif     ,Assam,94520,904095,2051.4,8995468.4,29301.2,9.919565217,23837991.26,146506,23984497.26,26.5287356527799
Linseed,1997,Rabi       ,Assam,10098,5158,2051.4,961026.66,3130.38,0.461363636,2546720.649,15651.9,2562372.549,496.776376308647
Maize,1997,Kharif     ,Assam,19216,14721,2051.4,1828786.72,5956.96,0.615652174,4846284.808,29784.8,4876069.608,331.23222661504
Mesta,1997,Kharif     ,Assam,5915,29003,2051.4,562930.55,1833.65,4.568947368,1491765.9575,9168.25,1500934.2075,51.7509984311968
Niger seed,1997,Whole Year ,Assam,9914,5076,2051.4,943515.38,3073.34,0.482352941,2500315.757,15366.7,2515682.457,495.603320921986
Onion,1997,Whole Year ,Assam,7832,17943,2051.4,745371.44,2427.92,2.342608696,1975234.316,12139.6,1987373.916,110.760403277044
Other  Rabi pulses,1997,Rabi       ,Assam,108297,58272,2051.4,10306625.49,33572.07,0.520869565,27312557.5485,167860.35,27480417.8985,471.588720114292
Potato,1997,Whole Year ,Assam,75259,671871,2051.4,7162399.03,23330.29,7.561304348,18980357.4295,116651.45,19097008.8795,28.4236242961819
Rapeseed &Mustard,1997,Rabi       ,Assam,279292,154772,2051.4,26580219.64,86580.52,0.554782609,70437582.046,432902.6,70870484.646,457.902492996149
Rice,1997,Autumn     ,Assam,607358,398311,2051.4,57802260.86,188280.98,0.780869565,153175991.279,941404.9,154117396.179,386.927290933467
Rice,1997,Summer     ,Assam,174974,209623,2051.4,16652275.58,54241.94,1.060434783,44128530.287,271209.7,44399739.987,211.807578304862
Rice,1997,Winter     ,Assam,1743321,1647296,2051.4,165911859.6,540429.51,0.941304348,439666427.94,2702147.55,442368575.49,268.542250749106
Sesamum,1997,Whole Year ,Assam,15765,8257,2051.4,1500355.05,4887.15,0.487391304,3975940.8825,24435.75,4000376.6325,484.483060736345
Small millets,1997,Kharif     ,Assam,10490,5391,2051.4,998333.3,3251.9,0.473,2645583.245,16259.5,2661842.745,493.756769616027
Sugarcane,1997,Kharif     ,Assam,31318,1287451,2051.4,2980534.06,9708.58,41.89695652,7898415.259,48542.9,7946958.159,6.17262960609763
Sweet potato,1997,Whole Year ,Assam,9380,32618,2051.4,892694.6,2907.8,3.440434783,2365640.69,14539,2380179.69,72.9713559997547
Tapioca,1997,Whole Year ,Assam,2465,11728,2051.4,234594.05,764.15,4.41826087,621674.2325,3820.75,625494.9825,53.3334739512278
Tobacco,1997,Whole Year ,Assam,433,26,2051.4,41208.61,134.23,0.38,109202.8165,671.15,109873.9665,4225.92178846154
Turmeric,1997,Whole Year ,Assam,10071,6974,2051.4,958457.07,3122.01,0.67,2539911.2355,15610.05,2555521.2855,366.435515557786
Wheat,1997,Rabi       ,Assam,84698,110054,2051.4,8060708.66,26256.38,1.25952381,21360877.949,131281.9,21492159.849,195.287402993076
Arecanut,1997,Whole Year ,Karnataka,93100,133342,1266.7,8860327,28861,1.293571429,23479866.55,144305,23624171.55,177.169770589912
Arhar/Tur,1997,Kharif     ,Karnataka,421810,98473,1266.7,40143657.7,130761.1,0.268235294,106380692.905,653805.5,107034498.405,1086.94259751404
Bajra,1997,Kharif     ,Karnataka,301149,132056,1266.7,28660350.33,93356.19,0.404545455,75949928.3745,466780.95,76416709.3245,578.66896865345
Bajra,1997,Summer     ,Karnataka,820,662,1266.7,78039.4,254.2,0.81,206804.41,1271,208075.41,314.3133081571
Black pepper,1997,Kharif     ,Karnataka,3825,924,1266.7,364025.25,1185.75,0.4375,964666.9125,5928.75,970595.6625,1050.42820616883
Cardamom,1997,Whole Year ,Karnataka,21230,1214,1266.7,2020459.1,6581.3,0.058571429,5354216.615,32906.5,5387123.115,4437.49844728171
Coriander,1997,Whole Year ,Karnataka,17317,2853,1266.7,1648058.89,5368.27,0.121333333,4367356.0585,26841.35,4394197.4085,1540.20238643533
Dry chillies,1997,Kharif     ,Karnataka,186579,139206,1266.7,17756723.43,57839.49,1.078333333,47055317.0895,289197.45,47344514.5395,340.103979278911
Dry chillies,1997,Rabi       ,Karnataka,4565,7895,1266.7,434451.05,1415.15,1.869444444,1151295.2825,7075.75,1158371.0325,146.72210671311
Garlic,1997,Whole Year ,Karnataka,5061,3799,1266.7,481655.37,1568.91,1.585,1276386.7305,7844.55,1284231.2805,338.044559226112
Ginger,1997,Kharif     ,Karnataka,3619,4745,1266.7,344420.23,1121.89,1.262307692,912713.6095,5609.45,918323.0595,193.534891359326
Groundnut,1997,Kharif     ,Karnataka,847666,525562,1266.7,80672373.22,262776.46,0.709411765,213781789.033,1313882.3,215095671.333,409.267929060701
Groundnut,1997,Rabi       ,Karnataka,192416,181071,1266.7,18312230.72,59648.96,1.133333333,48527411.408,298244.8,48825656.208,269.649232665639
Horse-gram,1997,Kharif     ,Karnataka,178872,80124,1266.7,17023248.24,55450.32,0.45,45111607.836,277251.6,45388859.436,566.482694773102
Horse-gram,1997,Rabi       ,Karnataka,163173,82572,1266.7,15529174.41,50583.63,0.514705882,41152312.1865,252918.15,41405230.3365,501.443956020201
Jowar,1997,Kharif     ,Karnataka,389690,516093,1266.7,37086797.3,120803.9,1.228,98280012.845,604019.5,98884032.345,191.601188826432
Jowar,1997,Rabi       ,Karnataka,1501172,722773,1266.7,142866539.2,465363.32,0.510714286,378596328.88,2326816.6,380923145.48,527.030126305216
Jowar,1997,Summer     ,Karnataka,6137,15135,1266.7,584058.29,1902.47,2.470909091,1547754.4685,9512.35,1557266.8185,102.891762041625
Maize,1997,Kharif     ,Karnataka,502797,1391132,1266.7,47851190.49,155867.07,2.687777778,126805654.7985,779335.35,127584990.1485,91.7130726261059
Maize,1997,Rabi       ,Karnataka,48844,98932,1266.7,4648483.48,15141.64,1.98,12318481.222,75708.2,12394189.422,125.279883374439
Maize,1997,Summer     ,Karnataka,9730,20893,1266.7,926004.1,3016.3,2.165714286,2453910.865,15081.5,2468992.365,118.17318551668
Ragi,1997,Kharif     ,Karnataka,897921,1214282,1266.7,85455141.57,278355.51,1.191333333,226456125.1605,1391777.55,227847902.7105,187.640023248718
Ragi,1997,Rabi       ,Karnataka,27104,33696,1266.7,2579487.68,8402.24,1.312222222,6835642.352,42011.2,6877653.552,204.108901709402
Ragi,1997,Summer     ,Karnataka,13521,25035,1266.7,1286793.57,4191.51,1.847777778,3410002.9605,20957.55,3430960.5105,137.04655524266
Rice,1997,Kharif     ,Karnataka,1031530,2340493,1266.7,98170710.1,319774.3,2.2335,260152381.765,1598871.5,261751253.265,111.835947924219
Rice,1997,Rabi       ,Karnataka,53889,109350,1266.7,5128616.13,16705.59,2.073846154,13590832.7445,83527.95,13674360.6945,125.051309506173
